tconst,titleType,primaryTitle,year,runtimeMinutes,averageRating,numVotes,d1,dn1,d2,dn2,w1,wn1,w2,wn2,w3,wn3
tt0084651,movie,Secta siniestra,1982,89,5.2,63,nm0409757,Ignacio F. Iquino,NA,NA,nm0090625,Juan Bosch,nm0409757,Ignacio F. Iquino,nm0760650,Juliana San José de la Fuente
tt0084658,movie,The Sender,1982,91,6.1,1305,nm0002337,Roger Christian,NA,NA,nm0062136,Thomas Baum,NA,NA,NA,NA
tt0084661,movie,El ser,1982,90,4.7,58,nm0195398,Stefano D'Arbo,nm0195397,Sebastián D'Arbó,nm0195398,Stefano D'Arbo,nm0195397,Sebastián D'Arbó,nm0613939,Luis Murillo
tt0084684,movie,Silent Rage,1982,103,5.5,4527,nm0588964,Michael Miller,NA,NA,nm0289707,Joseph Fraley,nm0223988,Edward Di Lorenzo,NA,NA
tt0084694,movie,The Slayer,1982,80,5.2,1684,nm0136592,J.S. Cardone,NA,NA,nm0136592,J.S. Cardone,nm0263943,Bill Ewing,NA,NA
tt0084695,movie,The Slumber Party Massacre,1982,77,5.7,8935,nm0427468,Amy Holden Jones,NA,NA,nm0114522,Rita Mae Brown,nm0427468,Amy Holden Jones,NA,NA
tt0084719,movie,The New York Ripper,1982,91,6.4,8417,nm0002086,Lucio Fulci,NA,NA,nm0166405,Gianfranco Clerici,nm0280984,Vincenzo Mannino,nm0002086,Lucio Fulci
tt0084735,movie,A Stranger Is Watching,1982,92,5.2,540,nm0192446,Sean S. Cunningham,NA,NA,nm0164267,Mary Higgins Clark,nm0711996,Earl Mac Rauch,nm0589485,Victor Miller
tt0084739,movie,Superstition,1982,86,5.8,2266,nm0730586,James W. Roberson,NA,NA,nm0860151,Galen Thompson,nm0756935,Michael O. Sajbel,nm0686766,Bret Thompson Plate
tt0084745,movie,Swamp Thing,1982,91,5.4,12030,nm0000127,Wes Craven,NA,NA,nm0000127,Wes Craven,nm0918083,Len Wein,nm0942951,Bernie Wrightson
tt0084747,tvMovie,Sweeney Todd: The Demon Barber of Fleet Street,1982,140,8.4,3265,nm0400958,Terry Hughes,nm0697660,Harold Prince,nm0923839,Hugh Wheeler,nm0093904,Christopher Bond,NA,NA
tt0084777,movie,Tenebrae,1982,101,7.1,18432,nm0000783,Dario Argento,NA,NA,nm0000783,Dario Argento,NA,NA,NA,NA
tt0084787,movie,The Thing,1982,109,8.1,338146,nm0000118,John Carpenter,NA,NA,nm0484111,Bill Lancaster,nm0132168,John W. Campbell Jr.,NA,NA
